Fiscal Year,Business Unit,Journal Entry Number,Period,Effective Date,Source,GL Account Number,GL Account Name,Functional Amount,Functional Currency Code,JE Description,Preparer ID,Entry Date,JE Line Number,JE Line Description,User Defined Field 1,User Defined Field 2,User Defined Field 3
2024,Eddey Finance,10001,2024-12,2024-12-02,Purchase,6100,Office Expenses,-25275.36,EUR,Monthly sales revenue,user4,2024-12-02 17:27:00,1,Monthly sales revenue,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10002,2024-08,2024-08-21,Adjustment,3000,Owner's Equity,25601.52,EUR,Monthly sales revenue,admin,2024-08-21 19:47:00,2,Monthly sales revenue,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10003,2025-03,2025-03-25,Sales,3100,Retained Earnings,-41010.98,EUR,Intercompany transaction,user4,2025-03-25 12:31:00,3,Intercompany transaction,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10004,2024-08,2024-08-11,Payroll,4000,Revenue,-20873.78,EUR,Bonus payout,user3,2024-08-11 21:26:00,4,Bonus payout,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10005,2024-12,2024-12-18,Tax,1000,Cash,-37235.85,EUR,Year-end adjustment,user1,2024-12-18 20:33:00,5,Year-end adjustment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10006,2024-03,2024-03-08,Purchase,6200,Depreciation Expense,12787.67,EUR,Loan repayment,user2,2024-03-08 00:49:00,6,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10007,2024-11,2024-11-29,Depreciation,2000,Accounts Payable,17316.33,EUR,Loan repayment,user3,2024-11-29 19:20:00,7,Loan repayment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10008,2025-03,2025-03-02,Sales,2000,Accounts Payable,-42898.13,EUR,Tax payment,user4,2025-03-02 18:59:00,8,Tax payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10009,2024-03,2024-03-21,Sales,8000,Tax Expense,-9153.04,EUR,Customer refund,admin,2024-03-21 21:58:00,9,Customer refund,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10010,2024-11,2024-11-22,Sales,6000,Salaries Expense,-33727.74,EUR,Manual correction entry,user1,2024-11-22 01:11:00,10,Manual correction entry,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10011,2024-05,2024-05-30,Sales,4100,Other Income,6299.26,EUR,Employee salary payment,admin,2024-05-30 00:05:00,11,Employee salary payment,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
2024,Eddey Finance,10012,2024-11,2024-11-12,Adjustment,6000,Salaries Expense,6747.65,EUR,Bonus payout,user5,2024-11-12 15:16:00,12,Bonus payout,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team,Any Additional Fields requested by the Audit team
